ZIP,TRACT,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
94954,6097150611,PETALUMA,CA,0.1038796916466574,0.01901840490797546,0.02926829268292683,0.09368601626916054
94954,6097150610,PETALUMA,CA,0.0907999494502717,0.001226993865030675,0.026016260162601626,0.08051574345636656
94955,6097150612,PETALUMA,CA,1.0,1.0,1.0,1.0
94956,6041132200,POINT REYES STATION,CA,0.4897959183673469,0.25,0.18421052631578946,0.42328042328042326
94956,6041133000,POINT REYES STATION,CA,0.5102040816326531,0.75,0.8157894736842105,0.5767195767195767
94957,6041117000,ROSS,CA,0.015037593984962405,0.0,0.0,0.01413760603204524
94957,6041119100,ROSS,CA,0.0005012531328320802,0.0,0.0,0.000471253534401508
94957,6041118100,ROSS,CA,0.9844611528822055,1.0,1.0,0.9853911404335532
94960,6041116000,SAN ANSELMO,CA,0.20066535611673975,0.05466237942122187,0.12337662337662338,0.18422762115109784
94960,6041109002,SAN ANSELMO,CA,0.005897474671102374,0.0,0.004329004329004329,0.005326750682083929
94960,6041118100,SAN ANSELMO,CA,0.026765461968849238,0.003215434083601286,0.0021645021645021645,0.023385734701831883
94960,6041114100,SAN ANSELMO,CA,0.0018146075911084228,0.0,0.0021645021645021645,0.001688969728465636
94960,6041114200,SAN ANSELMO,CA,0.0012097383940722819,0.0,0.0021645021645021645,0.0011692867350915942
94960,6041117000,SAN ANSELMO,CA,0.3326780583698775,0.8263665594855305,0.7186147186147186,0.3957385994543329
94960,6041115000,SAN ANSELMO,CA,0.4309693028882504,0.1157556270096463,0.1471861471861472,0.38846303754709627
94963,6041113000,SAN GERONIMO,CA,1.0,1.0,0.0,1.0
94964,6041121200,SAN QUENTIN,CA,0.0,1.0,0.0,1.0
94965,6041130203,SAUSALITO,CA,0.16062176165803108,0.062020460358056265,0.058823529411764705,0.13437359676695104
94965,6041130201,SAUSALITO,CA,0.3348064614446815,0.11572890025575447,0.2531969309462916,0.28917826672653796
94965,6041128100,SAUSALITO,CA,0.03093569033831149,0.01854219948849105,0.04219948849104859,0.029748540637629096
94965,6041130204,SAUSALITO,CA,0.2605912831453825,0.7506393861892583,0.4143222506393862,0.36012572968118545
94965,6041131100,SAUSALITO,CA,0.03962206644315757,0.03132992327365729,0.08951406649616368,0.04254602604400539
94965,6041129000,SAUSALITO,CA,0.17342273697043584,0.021739130434782608,0.14194373401534527,0.14402784014369108
94966,6041130204,SAUSALITO,CA,1.0,1.0,1.0,1.0
94970,6041132100,STINSON BEACH,CA,1.0,1.0,1.0,1.0
94971,6041133000,TOMALES,CA,1.0,1.0,0.0,1.0
94972,6097153502,VALLEY FORD,CA,1.0,1.0,0.0,1.0
94973,6041113000,WOODACRE,CA,1.0,1.0,1.0,1.0
94974,6041122000,SAN QUENTIN,CA,0.0,1.0,0.0,1.0
94975,6097150607,PETALUMA,CA,1.0,1.0,1.0,1.0
94976,6041121100,CORTE MADERA,CA,1.0,1.0,1.0,1.0
94977,6041120002,LARKSPUR,CA,1.0,1.0,1.0,1.0
94978,6041114100,FAIRFAX,CA,1.0,1.0,1.0,1.0
94979,6041117000,SAN ANSELMO,CA,1.0,1.0,1.0,1.0
94999,6097150607,PETALUMA,CA,0.0,1.0,1.0,1.0
95001,6087122002,APTOS,CA,1.0,1.0,1.0,1.0
95002,6085504602,ALVISO,CA,1.0,1.0,1.0,1.0
95003,6087122001,APTOS,CA,0.02596758187231227,0.005578800557880056,0.013452914798206279,0.023475522473518466
95003,6087122100,APTOS,CA,0.1545650016539861,0.06276150627615062,0.3071748878923767,0.15001431434297166
95003,6087122205,APTOS,CA,0.17722461131326497,0.038354253835425386,0.07399103139013453,0.15967649584884053
95003,6087122204,APTOS,CA,0.10841878928217002,0.17433751743375175,0.2645739910313901,0.12016890924706555
95003,6087122202,APTOS,CA,0.08427059212702613,0.005578800557880056,0.004484304932735426,0.07364729458917836
95003,6087122004,APTOS,CA,0.11321534899106847,0.6415620641562064,0.1905829596412556,0.16991125107357571
95003,6087122402,APTOS,CA,0.030433344359907376,0.005578800557880056,0.008968609865470852,0.02719725164614944
95003,6087122005,APTOS,CA,0.04027456169368177,0.00906555090655509,0.05605381165919283,0.037575150300601205
95003,6087122002,APTOS,CA,0.11834270592127026,0.030683403068340307,0.05829596412556054,0.1074291440022903
95003,6087122203,APTOS,CA,0.1472874627853126,0.026499302649930265,0.02242152466367713,0.13090466647580876
95004,6053010501,AROMAS,CA,0.020331728196896735,0.019230769230769232,0.0,0.0202122283981809
95004,6053010202,AROMAS,CA,0.10005350454788657,0.057692307692307696,0.5,0.09903991915108641
95004,6053010102,AROMAS,CA,0.6142322097378277,0.8461538461538461,0.5,0.6260737746336533
95004,6069000200,AROMAS,CA,0.265382557517389,0.07692307692307693,0.0,0.25467407781707935
95005,6087120600,BEN LOMOND,CA,0.22727272727272727,0.026143790849673203,0.07692307692307693,0.21552723059096177
